aX,aY,aZ,gX,gY,gZ
-0.501,0.052,1.930,9.155,31.067,149.597
-0.588,0.170,1.802,17.517,36.072,152.344
-0.610,0.276,1.828,15.930,33.386,154.785
-0.590,0.337,1.935,7.019,31.372,156.006
-0.551,0.455,2.129,-4.028,33.447,157.288
-0.538,0.512,2.184,-7.751,43.518,155.029
-0.543,0.649,2.139,-7.080,56.396,153.015
-0.592,0.861,2.047,-8.118,68.115,150.696
-0.636,1.057,1.897,-10.376,78.308,144.958
-0.667,1.221,1.766,-16.663,85.205,135.376
-0.668,1.229,1.664,-21.301,90.088,121.277
-0.607,1.262,1.641,-29.419,93.811,108.154
-0.551,1.261,1.614,-38.208,99.060,93.384
-0.525,1.259,1.505,-44.922,105.957,80.139
-0.509,1.200,1.359,-49.194,113.403,66.711
-0.492,1.180,1.194,-52.795,118.347,55.298
-0.482,1.158,1.022,-51.819,119.507,45.166
-0.459,1.154,0.909,-52.429,118.103,34.546
-0.454,1.123,0.784,-53.284,116.333,22.522
-0.402,1.085,0.671,-55.847,116.089,10.010
-0.369,1.076,0.550,-57.922,114.502,-0.671
-0.316,1.066,0.526,-62.744,109.741,-11.902
-0.301,1.009,0.480,-69.946,106.201,-23.987
-0.332,0.944,0.372,-78.003,103.760,-35.400
-0.324,0.853,0.283,-82.886,97.839,-46.326
-0.284,0.775,0.252,-85.022,88.745,-55.542
-0.249,0.713,0.289,-83.191,78.308,-62.195
-0.226,0.700,0.286,-77.515,69.458,-66.406
-0.200,0.690,0.299,-68.420,61.096,-70.740
-0.160,0.704,0.235,-54.321,55.115,-74.585
-0.132,0.761,0.170,-39.673,48.462,-75.500
-0.098,0.831,0.133,-29.541,41.504,-78.247
-0.075,0.950,0.103,-22.827,35.339,-82.947
-0.042,1.076,0.114,-20.996,29.358,-91.553
-0.032,1.139,0.083,-24.719,26.367,-103.943
-0.033,1.103,0.038,-30.823,24.414,-118.896
-0.048,0.945,-0.011,-32.715,19.958,-133.545
-0.074,0.804,-0.094,-30.579,14.099,-142.761
-0.092,0.664,-0.085,-29.419,3.296,-146.729
-0.084,0.566,-0.033,-27.405,-8.118,-146.729
-0.066,0.517,0.018,-23.437,-17.212,-144.775
-0.055,0.543,0.015,-16.724,-23.804,-141.846
-0.035,0.680,-0.007,-10.437,-29.114,-140.564
-0.029,0.702,-0.004,-9.583,-34.485,-144.531
-0.026,0.657,0.019,-12.085,-39.001,-151.855
-0.036,0.530,0.067,-19.287,-43.274,-157.227
-0.050,0.358,0.110,-28.015,-46.448,-160.706
-0.091,0.196,0.083,-32.104,-49.011,-159.973
-0.095,0.084,0.059,-28.870,-54.260,-157.043
-0.088,-0.021,0.061,-21.667,-61.462,-153.137
-0.080,-0.028,0.076,-10.681,-68.420,-146.790
-0.067,-0.050,0.091,-1.953,-75.623,-141.968
-0.068,-0.071,0.108,3.784,-81.909,-138.123
-0.064,-0.156,0.146,7.812,-88.684,-133.423
-0.054,-0.244,0.232,10.681,-95.642,-128.418
-0.020,-0.319,0.360,13.245,-101.318,-122.986
-0.017,-0.370,0.442,12.817,-102.295,-118.286
-0.026,-0.384,0.447,10.803,-100.525,-113.403
-0.017,-0.376,0.466,10.071,-100.403,-109.070
-0.022,-0.388,0.513,4.761,-100.891,-106.201
-0.036,-0.465,0.506,1.892,-101.257,-103.760
-0.043,-0.547,0.504,-1.526,-103.455,-99.731
-0.050,-0.675,0.545,-7.996,-107.666,-92.896
-0.049,-0.787,0.599,-13.123,-112.183,-83.435
-0.057,-0.852,0.692,-15.686,-116.272,-70.007
-0.057,-0.860,0.829,-13.855,-119.629,-55.603
-0.052,-0.785,0.902,-6.226,-120.056,-40.833
-0.048,-0.700,0.944,0.183,-117.798,-28.320
-0.075,-0.648,0.966,4.883,-113.953,-18.921
-0.124,-0.653,0.926,7.080,-109.924,-11.902
-0.151,-0.678,0.984,6.348,-109.985,-5.005
-0.165,-0.759,1.056,4.150,-110.413,1.343
-0.174,-0.778,1.164,3.357,-110.596,10.559
-0.168,-0.730,1.259,5.859,-110.840,22.644
-0.185,-0.588,1.401,9.155,-109.680,33.997
-0.171,-0.527,1.434,7.874,-104.248,41.870
-0.170,-0.508,1.592,14.343,-100.159,48.706
-0.172,-0.505,1.594,19.348,-90.698,54.016
-0.187,-0.478,1.606,19.409,-80.322,59.143
-0.203,-0.436,1.555,17.029,-70.618,62.500
-0.236,-0.460,1.518,17.212,-62.866,65.308
-0.311,-0.454,1.458,16.602,-57.068,69.763
-0.288,-0.438,1.458,19.897,-54.016,77.759
-0.324,-0.445,1.469,13.916,-48.584,83.252
-0.308,-0.443,1.530,7.446,-49.927,91.064
-0.310,-0.401,1.651,2.686,-48.645,99.609
-0.315,-0.318,1.662,1.770,-44.067,107.056
-0.317,-0.275,1.642,2.319,-37.048,112.976
-0.317,-0.150,1.699,-0.732,-32.166,118.408
-0.332,-0.031,1.735,-6.653,-25.757,121.765
-0.353,0.089,1.730,-11.597,-16.357,121.521
-0.378,0.135,1.728,-15.686,-6.897,118.835
-0.406,0.157,1.767,-18.188,1.282,115.540
-0.437,0.080,1.704,-13.733,11.902,112.183
-0.454,0.090,1.624,-6.531,21.301,112.305
-0.453,0.186,1.582,4.639,26.794,115.967
-0.454,0.305,1.484,17.944,32.288,118.530
-0.435,0.470,1.393,29.358,35.522,119.751
-0.389,0.690,1.387,35.583,36.194,118.408
-0.320,0.946,1.411,41.260,38.330,112.122
-0.282,1.047,1.409,47.424,44.006,99.121
-0.274,1.044,1.320,43.579,51.086,84.839
-0.262,0.925,1.177,38.757,56.091,71.838
-0.217,0.825,1.106,35.828,55.176,64.026
-0.183,0.802,1.019,38.757,51.819,60.669
-0.180,0.915,0.987,47.180,46.204,57.434
-0.104,0.942,0.880,49.194,42.175,50.659
-0.102,1.016,0.840,45.349,37.354,44.495
-0.086,1.032,0.838,36.316,32.654,35.156
-0.088,0.922,0.809,28.442,29.053,23.437
-0.106,0.795,0.805,18.188,26.428,13.489
-0.113,0.658,0.801,7.141,22.949,6.165
-0.122,0.577,0.827,2.808,19.409,1.038
-0.123,0.489,0.830,2.869,16.663,-3.113
-0.153,0.451,0.827,6.348,13.855,-6.958
-0.170,0.391,0.765,9.216,12.146,-11.353
-0.177,0.312,0.767,10.071,7.812,-15.930
-0.177,0.243,0.834,8.667,2.808,-19.104
-0.176,0.151,0.889,5.920,0.488,-21.484

-0.304,-1.077,1.431,-54.871,-82.520,68.359
-0.413,-0.993,1.696,-54.504,-78.308,84.534
-0.503,-0.883,2.048,-53.772,-71.289,98.633
-0.599,-0.723,2.327,-51.270,-58.655,110.352
-0.709,-0.585,2.515,-50.110,-41.687,118.835
-0.813,-0.453,2.659,-48.706,-23.987,124.756
-0.892,-0.333,2.770,-48.035,-6.592,129.028
-0.926,-0.177,2.834,-43.152,10.742,132.507
-0.931,-0.051,2.870,-34.729,28.809,134.583
-0.936,0.073,2.792,-25.940,48.340,136.475
-0.943,0.217,2.678,-18.982,67.444,137.878
-0.954,0.322,2.498,-13.123,84.229,138.794
-0.962,0.418,2.328,-9.888,98.267,139.099
-0.961,0.505,2.133,-7.202,109.314,138.123
-0.946,0.552,1.943,-5.676,117.432,135.437
-0.901,0.560,1.741,-4.883,122.681,131.470
-0.852,0.592,1.565,-5.188,125.366,128.601
-0.789,0.653,1.381,-5.432,127.136,125.366
-0.720,0.730,1.194,-8.911,127.014,121.094
-0.632,0.787,1.049,-16.479,125.244,114.136
-0.554,0.847,0.939,-25.574,123.169,104.858
-0.447,0.926,0.897,-32.959,122.253,93.811
-0.394,0.903,0.698,-30.334,124.023,79.346
-0.334,0.903,0.569,-33.203,123.291,65.247
-0.279,0.874,0.477,-40.344,118.713,51.819
-0.243,0.865,0.371,-45.959,113.831,39.429
-0.198,0.859,0.294,-49.744,106.567,26.978
-0.151,0.864,0.310,-53.101,97.229,15.015
-0.112,0.889,0.322,-57.983,89.844,4.333
-0.094,0.932,0.334,-63.477,83.496,-5.493
-0.087,0.982,0.358,-66.406,78.369,-17.090
-0.089,0.994,0.375,-68.237,73.914,-30.029
-0.095,0.967,0.384,-69.336,70.496,-43.213
-0.119,0.869,0.380,-71.411,66.772,-55.847
-0.147,0.784,0.357,-70.435,62.805,-65.796
-0.157,0.758,0.339,-64.880,57.617,-72.510
-0.149,0.779,0.344,-55.603,51.880,-78.247
-0.129,0.898,0.395,-45.715,46.997,-84.045
-0.122,1.004,0.376,-35.217,45.532,-92.896
-0.123,1.079,0.361,-31.006,44.922,-103.943
-0.136,1.063,0.343,-35.645,43.762,-116.089
-0.156,1.004,0.320,-42.053,42.725,-128.418
-0.177,0.879,0.297,-48.340,40.039,-139.893
-0.170,0.730,0.300,-51.697,35.034,-148.193
-0.155,0.571,0.326,-53.406,30.029,-152.283
-0.147,0.564,0.309,-50.598,25.757,-151.184
-0.135,0.599,0.308,-43.213,20.996,-150.208
-0.118,0.661,0.268,-31.128,17.578,-152.161
-0.117,0.704,0.211,-23.132,14.526,-156.250
-0.121,0.687,0.181,-24.109,10.132,-162.109
-0.105,0.606,0.166,-30.518,5.920,-169.006
-0.085,0.431,0.174,-41.016,1.526,-175.110
-0.101,0.190,0.121,-51.697,-1.587,-177.917
-0.112,-0.054,0.061,-57.983,-6.775,-175.049
-0.092,-0.217,0.056,-56.274,-15.686,-167.236
-0.057,-0.260,0.061,-46.509,-25.085,-156.799
-0.015,-0.284,0.089,-34.302,-33.325,-147.156
0.018,-0.221,0.093,-24.841,-40.222,-138.672
0.032,-0.194,0.083,-20.447,-45.959,-132.935
0.032,-0.235,0.084,-21.545,-51.392,-130.615
0.016,-0.271,0.110,-27.588,-57.312,-128.784
-0.005,-0.339,0.115,-34.485,-63.049,-127.563
-0.016,-0.489,0.165,-43.152,-69.641,-126.831
-0.021,-0.658,0.215,-46.631,-76.355,-123.291
-0.027,-0.841,0.250,-42.847,-82.397,-116.272
-0.032,-0.996,0.281,-34.607,-88.989,-104.736
-0.035,-1.056,0.286,-23.682,-95.642,-89.783
-0.014,-1.048,0.416,-14.893,-104.492,-73.486
-0.001,-0.975,0.535,-9.766,-111.145,-57.861
-0.009,-0.889,0.646,-10.132,-114.685,-44.800
-0.029,-0.834,0.745,-12.451,-116.089,-35.156
-0.051,-0.856,0.846,-15.625,-116.333,-27.954
-0.085,-0.925,0.887,-16.296,-114.380,-20.325
-0.105,-1.013,0.886,-14.160,-112.305,-11.902
-0.122,-1.145,0.908,-8.850,-112.671,-1.587
-0.133,-1.189,1.008,-3.296,-114.075,12.573
-0.130,-1.099,1.168,4.395,-116.272,31.067
-0.136,-1.002,1.287,15.625,-115.051,47.058
-0.140,-0.910,1.363,26.062,-111.267,60.181
-0.170,-0.825,1.465,34.119,-108.093,71.655
-0.158,-0.730,1.408,37.109,-101.929,80.872
-0.188,-0.631,1.498,39.795,-94.482,86.853
-0.209,-0.637,1.461,39.673,-87.280,89.111
-0.249,-0.621,1.484,33.691,-79.956,93.567
-0.304,-0.685,1.480,24.231,-75.134,98.999
-0.328,-0.703,1.570,18.250,-72.266,107.178
-0.348,-0.612,1.655,20.264,-70.374,117.859
-0.421,-0.424,1.645,28.931,-66.040,127.686
-0.343,-0.261,1.695,38.208,-62.927,135.254
-0.384,-0.209,1.735,35.889,-56.458,136.963
-0.381,-0.080,1.747,26.123,-51.025,137.756
-0.400,0.137,1.828,10.681,-42.725,140.198
-0.401,0.352,1.863,-0.366,-34.790,138.672
-0.402,0.426,1.859,-6.714,-24.109,131.531
-0.395,0.527,1.834,-10.132,-14.709,124.634
-0.384,0.614,1.773,-11.963,-5.981,118.774
-0.390,0.667,1.684,-10.437,1.282,112.671
-0.387,0.662,1.622,-4.639,5.920,106.567
-0.388,0.695,1.538,7.507,9.094,102.356
-0.371,0.802,1.495,20.813,10.498,98.755
-0.343,0.889,1.451,29.419,11.597,93.323
-0.300,1.013,1.429,31.128,13.306,86.731
-0.266,1.051,1.385,27.710,16.418,76.172
-0.257,1.011,1.317,23.071,20.447,62.744
-0.246,0.920,1.223,20.935,23.071,49.622
-0.233,0.840,1.185,20.142,22.400,40.466
-0.222,0.757,1.139,22.034,20.447,33.569
