aX,aY,aZ,gX,gY,gZ
-0.469,0.440,1.736,-91.248,11.780,129.272
-0.469,0.503,1.703,-94.116,23.621,121.887
-0.472,0.520,1.679,-101.196,35.461,113.831
-0.467,0.568,1.698,-110.474,46.509,107.849
-0.467,0.592,1.657,-116.394,59.692,101.440
-0.461,0.680,1.600,-119.995,72.571,94.299
-0.459,0.666,1.440,-105.530,83.435,85.388
-0.464,0.674,1.528,-80.872,83.984,75.500
-0.471,0.745,1.486,-70.496,91.797,69.641
-0.482,0.771,1.533,-67.322,99.365,61.279
-0.477,0.844,1.560,-63.965,109.070,52.734
-0.493,0.804,1.387,-69.519,124.817,42.664
-0.495,0.882,1.372,-67.200,135.620,34.241
-0.496,0.870,1.191,-65.796,144.531,23.560
-0.475,0.899,1.199,-62.927,149.597,14.038
-0.460,0.951,1.254,-64.270,152.588,5.554
-0.442,0.969,1.258,-80.261,162.842,-3.845
-0.409,0.949,1.259,-95.215,174.316,-15.259
-0.395,0.921,1.193,-101.440,186.279,-24.963
-0.403,1.021,1.091,-111.023,200.623,-31.738
-0.432,1.254,0.848,-106.628,213.196,-41.321
-0.450,1.341,0.383,-81.543,219.727,-61.768
-0.432,1.268,0.232,-49.988,203.308,-86.548
-0.396,1.223,0.309,-30.762,175.781,-104.248
-0.358,1.101,0.412,-22.888,156.982,-119.080
-0.318,0.913,0.540,-24.658,147.095,-131.653
-0.288,0.759,0.591,-22.400,144.226,-139.221
-0.275,0.735,0.577,-16.907,145.752,-141.785
-0.278,0.728,0.511,-8.545,149.109,-143.982
-0.300,0.757,0.421,-1.221,151.306,-147.217
-0.339,0.850,0.225,4.639,151.550,-151.733
-0.338,0.829,-0.010,-4.822,147.461,-160.889
-0.304,0.648,-0.110,-28.320,135.010,-171.631
-0.249,0.467,-0.128,-36.987,117.859,-178.772
-0.198,0.392,-0.073,-39.795,99.854,-180.115
-0.161,0.299,-0.056,-36.194,86.243,-180.908
-0.121,0.229,-0.103,-30.884,75.745,-180.908
-0.083,0.168,-0.046,-22.339,63.049,-179.321
