aX,aY,aZ,gX,gY,gZ
0.836,-0.186,1.476,-46.326,-5.798,-8.118
0.748,0.164,1.406,-29.541,6.287,-7.385
0.677,0.474,1.047,-10.559,17.944,-15.137
0.633,0.583,0.826,-11.780,21.729,-33.142
0.567,0.639,0.807,-39.856,16.235,-49.072
0.502,0.541,0.758,-68.115,14.099,-65.491
0.402,0.323,0.783,-90.210,9.583,-78.552
0.300,-0.020,0.896,-106.873,5.371,-84.961
0.136,-0.085,0.989,-112.183,2.747,-76.050
-0.020,0.076,0.927,-98.694,3.784,-61.279
-0.269,0.470,0.676,-71.228,5.005,-51.208
-0.607,0.831,0.283,-42.664,1.831,-53.223
-0.919,1.197,0.061,-26.855,-14.893,-69.519
-1.178,0.995,0.180,-21.484,-43.091,-98.938
-1.382,0.490,0.390,-33.691,-64.880,-125.000
-1.459,0.175,0.746,-52.795,-81.360,-128.906
-1.472,-0.062,1.068,-62.317,-89.233,-123.535
-1.427,-0.263,1.317,-49.377,-89.172,-118.225
-1.344,-0.400,1.455,-15.259,-82.764,-113.525
-1.279,-0.454,1.417,28.076,-71.716,-110.229
-1.171,-0.626,1.187,69.885,-59.082,-109.192
-1.061,-0.723,0.907,99.487,-50.842,-103.455
-0.985,-0.822,0.646,112.915,-47.974,-92.285
-0.886,-0.904,0.469,112.183,-49.438,-76.599
-0.855,-0.836,0.486,98.145,-54.810,-54.993
-0.795,-0.735,0.600,76.660,-57.861,-33.142
-0.768,-0.556,0.810,56.213,-60.059,-12.634
-0.728,-0.385,1.050,42.297,-58.655,1.587
-0.661,-0.291,1.276,34.607,-53.345,10.742
-0.579,-0.172,1.423,29.541,-41.748,17.883
-0.527,-0.098,1.377,26.917,-25.879,23.254
-0.589,-0.035,1.211,24.048,-8.179,26.794
-0.619,0.105,1.078,18.982,3.357,30.396
-0.687,0.157,0.880,17.578,11.169,31.799
-0.766,0.105,0.724,17.517,13.428,28.870
-0.824,0.093,0.601,14.221,8.545,30.029
-0.873,0.026,0.564,10.498,0.610,32.288
-0.894,0.080,0.578,9.155,-8.423,39.001
-0.889,0.044,0.733,1.831,-17.151,44.495
-0.832,0.024,1.070,-8.728,-22.095,49.805
-0.802,0.138,1.321,-9.521,-17.578,56.824
-0.817,0.248,1.354,-0.244,-4.150,61.279
-0.889,0.312,1.188,12.207,10.681,60.669
-0.927,0.471,1.069,23.315,19.531,60.181
-0.920,0.500,1.019,24.353,23.254,56.458
-0.855,0.380,0.932,15.747,28.625,51.392
