aX,aY,aZ,gX,gY,gZ
0.087,2.035,0.746,38.025,-5.371,79.834
0.092,2.116,0.754,29.175,-1.404,64.087
0.085,2.175,0.781,25.024,2.502,44.861
0.075,2.228,0.785,28.625,6.470,25.391
0.091,2.369,0.799,29.785,11.169,7.263
0.118,2.554,0.808,28.687,15.991,-11.475
0.107,2.634,0.705,24.353,23.437,-37.720
0.072,2.563,0.613,18.982,28.381,-67.749
0.036,2.414,0.635,12.024,28.442,-95.642
0.011,2.290,0.654,3.967,28.931,-117.676
-0.007,2.177,0.642,-4.456,30.823,-135.925
-0.020,2.088,0.656,-12.268,32.715,-152.039
-0.030,2.023,0.705,-19.836,33.875,-167.175
-0.047,1.939,0.711,-27.100,37.292,-182.434
-0.067,1.845,0.700,-32.043,41.321,-197.937
-0.074,1.762,0.724,-36.194,43.945,-211.121
-0.082,1.743,0.759,-40.344,46.814,-222.717
-0.109,1.664,0.735,-43.640,51.819,-236.328
-0.135,1.537,0.723,-45.959,55.786,-250.549
-0.166,1.464,0.736,-50.171,58.228,-261.536
-0.198,1.313,0.741,-56.274,61.523,-272.705
-0.223,1.150,0.757,-61.340,63.171,-281.372
-0.234,0.988,0.733,-61.218,66.040,-287.292
-0.208,0.901,0.806,-60.852,66.956,-290.344
-0.191,0.891,0.819,-62.622,71.228,-291.382
-0.191,0.851,0.785,-64.697,78.430,-295.105
-0.204,0.807,0.739,-65.369,82.703,-301.086
-0.223,0.737,0.712,-64.575,85.449,-307.800
-0.266,0.614,0.658,-63.721,86.609,-314.148
-0.284,0.477,0.691,-62.744,85.754,-318.359
-0.280,0.363,0.731,-59.448,84.656,-320.435
-0.265,0.278,0.738,-50.537,87.036,-321.045
-0.241,0.309,0.729,-40.222,91.431,-320.435
-0.235,0.330,0.694,-33.325,97.595,-322.449
-0.248,0.297,0.643,-33.020,104.980,-327.942
-0.281,0.183,0.504,-37.415,112.122,-334.900
-0.321,0.017,0.375,-41.382,115.601,-339.783
-0.355,-0.189,0.310,-44.922,114.868,-340.027
-0.338,-0.409,0.318,-46.936,111.145,-334.900
